,raceid3,driverId,grid3,position_3,positionorder3,points3,laps,fastestlap3,fastestlapspeed3,qposition3,lap,position_y,meanlaptime3,fastlaptime3,year,round,circuitId,driverref3,number,code,forename,surname,dob,nationality,pos3,points3,raceid1,grid1,position_1,positionorder1,points1,laps_x,fastestlap1,fastestlapspeed1,qposition1,lap_x,position_y_x,meanlaptime1,fastlaptime1,round_x,circuitId_x,driverref1,number_x,code_x,forename_x,surname_x,dob_x,nationality_x,pos1,points1,raceid2,grid2,position_2,positionorder2,points2,laps_y,fastestlap2,fastestlapspeed2,qposition2,lap_y,position_y_y,meanlaptime2,fastlaptime2,round_y,circuitId_y,driverref2,number_y,code_y,forename_y,surname_y,dob_y,nationality_y,pos2,points2
10,20,22,12,11.0,11,0.0,57,40.0,205.399,12.0,1.0,13.0,97277.75438596492,94855.0,2008,3,3,barrichello,,BAR,Rubens,Barrichello,23/05/1972,Brazilian,14.0,11.0,18.0,10.0,,22.0,0.0,58.0,44.0,215.141,11.0,1.0,7.0,99018.43103448275,88736.0,1.0,1.0,barrichello,,BAR,Rubens,Barrichello,23/05/1972,Brazilian,14.0,11.0,19.0,14.0,13.0,13.0,0.0,55.0,55.0,206.372,14.0,1.0,16.0,100219.43636363637,96693.0,2.0,2.0,barrichello,,BAR,Rubens,Barrichello,23/05/1972,Brazilian,14.0,11.0
11,20,21,18,12.0,12,0.0,56,56.0,204.963,18.0,1.0,14.0,97650.82142857145,95057.0,2008,3,3,fisichella,,FIS,Giancarlo,Fisichella,14/01/1973,Italian,19.0,0.0,18.0,16.0,,21.0,0.0,0.0,,,17.0,,,,,1.0,1.0,fisichella,,FIS,Giancarlo,Fisichella,14/01/1973,Italian,19.0,0.0,19.0,17.0,12.0,12.0,0.0,55.0,52.0,205.8,17.0,1.0,18.0,100175.41818181818,96962.0,2.0,2.0,fisichella,,FIS,Giancarlo,Fisichella,14/01/1973,Italian,19.0,0.0
12,20,1,3,13.0,13,0.0,56,25.0,203.969,3.0,1.0,9.0,97906.85714285713,95520.0,2008,3,3,hamilton,44.0,HAM,Lewis,Hamilton,07/01/1985,British,1.0,98.0,18.0,1.0,1.0,1.0,10.0,58.0,39.0,218.3,1.0,1.0,1.0,98114.06896551725,87452.0,1.0,1.0,hamilton,44.0,HAM,Lewis,Hamilton,07/01/1985,British,1.0,98.0,19.0,9.0,5.0,5.0,4.0,56.0,53.0,209.033,4.0,1.0,5.0,98662.55357142855,95462.0,2.0,2.0,hamilton,44.0,HAM,Lewis,Hamilton,07/01/1985,British,1.0,98.0
13,20,6,16,14.0,14,0.0,56,30.0,204.155,16.0,1.0,18.0,97936.375,95433.0,2008,3,3,nakajima,,NAK,Kazuki,Nakajima,11/01/1985,Japanese,15.0,9.0,18.0,13.0,6.0,6.0,3.0,57.0,50.0,212.974,14.0,1.0,16.0,100082.19298245614,89639.0,1.0,1.0,nakajima,,NAK,Kazuki,Nakajima,11/01/1985,Japanese,15.0,9.0,19.0,22.0,17.0,17.0,0.0,54.0,19.0,204.222,18.0,1.0,17.0,101798.72222222225,97711.0,2.0,2.0,nakajima,,NAK,Kazuki,Nakajima,11/01/1985,Japanese,15.0,9.0
14,20,7,15,15.0,15,0.0,56,33.0,204.369,15.0,1.0,15.0,98134.92857142855,95333.0,2008,3,3,bourdais,,BOU,Sج©bastien,Bourdais,28/02/1979,French,,,18.0,17.0,7.0,7.0,2.0,55.0,22.0,213.224,18.0,1.0,14.0,98864.38181818182,89534.0,1.0,1.0,bourdais,,BOU,Sج©bastien,Bourdais,28/02/1979,French,,,19.0,18.0,,22.0,0.0,0.0,,,19.0,,,,,2.0,2.0,bourdais,,BOU,Sج©bastien,Bourdais,28/02/1979,French,,
15,20,19,21,16.0,16,0.0,56,45.0,204.389,21.0,1.0,19.0,98814.96428571428,95324.0,2008,3,3,davidson,,DAV,Anthony,Davidson,18/04/1979,British,22.0,0.0,18.0,21.0,,19.0,0.0,0.0,,,22.0,,,,,1.0,1.0,davidson,,DAV,Anthony,Davidson,18/04/1979,British,22.0,0.0,19.0,21.0,15.0,15.0,0.0,55.0,55.0,203.265,22.0,1.0,20.0,101260.50909090912,98171.0,2.0,2.0,davidson,,DAV,Anthony,Davidson,18/04/1979,British,22.0,0.0
16,20,11,22,17.0,17,0.0,56,56.0,203.18,22.0,1.0,16.0,98965.60714285713,95891.0,2008,3,3,sato,,SAT,Takuma,Sato,28/01/1977,Japanese,21.0,0.0,18.0,19.0,,11.0,0.0,32.0,24.0,210.038,20.0,1.0,11.0,99014.0,90892.0,1.0,1.0,sato,,SAT,Takuma,Sato,28/01/1977,Japanese,21.0,0.0,19.0,19.0,16.0,16.0,0.0,54.0,53.0,202.578,20.0,1.0,19.0,101595.07407407409,98504.0,2.0,2.0,sato,,SAT,Takuma,Sato,28/01/1977,Japanese,21.0,0.0
17,20,14,17,18.0,18,0.0,56,43.0,204.331,17.0,1.0,17.0,99136.89285714287,95351.0,2008,3,3,coulthard,,COU,David,Coulthard,27/03/1971,British,16.0,8.0,18.0,8.0,,14.0,0.0,25.0,21.0,213.3,8.0,1.0,10.0,95462.88,89502.0,1.0,1.0,coulthard,,COU,David,Coulthard,27/03/1971,British,16.0,8.0,19.0,12.0,9.0,9.0,0.0,56.0,55.0,207.417,12.0,1.0,8.0,99192.41071428572,96206.0,2.0,2.0,coulthard,,COU,David,Coulthard,27/03/1971,British,16.0,8.0
18,20,16,20,19.0,19,0.0,56,55.0,204.136,20.0,1.0,21.0,100028.12727272726,95442.0,2008,3,3,sutil,99.0,SUT,Adrian,Sutil,11/01/1983,German,20.0,0.0,18.0,22.0,,16.0,0.0,8.0,8.0,207.461,19.0,1.0,15.0,105505.875,92021.0,1.0,1.0,sutil,99.0,SUT,Adrian,Sutil,11/01/1983,German,20.0,0.0,19.0,20.0,,20.0,0.0,5.0,3.0,198.891,21.0,1.0,15.0,103760.2,100330.0,2.0,2.0,sutil,99.0,SUT,Adrian,Sutil,11/01/1983,German,20.0,0.0
19,20,12,14,,20,0.0,40,31.0,204.808,14.0,1.0,11.0,100168.875,95129.0,2008,3,3,piquet_jr,,PIQ,Nelson,Piquet Jr.,25/07/1985,Brazilian,12.0,19.0,18.0,20.0,,12.0,0.0,30.0,20.0,208.907,21.0,1.0,12.0,99643.6,91384.0,1.0,1.0,piquet_jr,,PIQ,Nelson,Piquet Jr.,25/07/1985,Brazilian,12.0,19.0,19.0,13.0,11.0,11.0,0.0,56.0,52.0,205.812,13.0,1.0,12.0,99477.80357142855,96956.0,2.0,2.0,piquet_jr,,PIQ,Nelson,Piquet Jr.,25/07/1985,Brazilian,12.0,19.0
20,20,18,9,,21,0.0,19,11.0,202.686,9.0,1.0,20.0,103582.05263157896,96125.0,2008,3,3,button,22.0,BUT,Jenson,Button,19/01/1980,British,18.0,3.0,18.0,12.0,,18.0,0.0,0.0,,,13.0,,,,,1.0,1.0,button,22.0,BUT,Jenson,Button,19/01/1980,British,18.0,3.0,19.0,11.0,10.0,10.0,0.0,56.0,56.0,208.481,11.0,1.0,11.0,99370.875,95715.0,2.0,2.0,button,22.0,BUT,Jenson,Button,19/01/1980,British,18.0,3.0
21,20,20,19,,22,0.0,0,,,19.0,,,,,2008,3,3,vettel,5.0,VET,Sebastian,Vettel,03/07/1987,German,8.0,35.0,18.0,9.0,,20.0,0.0,0.0,,,10.0,,,,,1.0,1.0,vettel,5.0,VET,Sebastian,Vettel,03/07/1987,German,8.0,35.0,19.0,15.0,,18.0,0.0,39.0,37.0,205.995,15.0,1.0,13.0,99910.10256410256,96870.0,2.0,2.0,vettel,5.0,VET,Sebastian,Vettel,03/07/1987,German,8.0,35.0
22,38,13,1,1.0,1,10.0,57,42.0,207.12,1.0,1.0,1.0,98377.45614035089,94067.0,2007,3,3,massa,19.0,MAS,Felipe,Massa,25/04/1981,Brazilian,4.0,94.0,36.0,22.0,6.0,6.0,3.0,58.0,28.0,219.323,16.0,1.0,18.0,89578.87931034483,87044.0,1.0,1.0,massa,19.0,MAS,Felipe,Massa,25/04/1981,Brazilian,4.0,94.0,37.0,1.0,5.0,5.0,4.0,56.0,42.0,205.298,1.0,1.0,3.0,99493.48214285713,97199.0,2.0,2.0,massa,19.0,MAS,Felipe,Massa,25/04/1981,Brazilian,4.0,94.0
23,38,1,2,2.0,2,8.0,57,18.0,206.674,2.0,1.0,2.0,98418.8596491228,94270.0,2007,3,3,hamilton,44.0,HAM,Lewis,Hamilton,07/01/1985,British,2.0,109.0,36.0,4.0,3.0,3.0,6.0,58.0,20.0,221.083,4.0,1.0,3.0,88747.6724137931,86351.0,1.0,1.0,hamilton,44.0,HAM,Lewis,Hamilton,07/01/1985,British,2.0,109.0,37.0,4.0,2.0,2.0,8.0,56.0,22.0,206.355,4.0,1.0,2.0,99151.55357142855,96701.0,2.0,2.0,hamilton,44.0,HAM,Lewis,Hamilton,07/01/1985,British,2.0,109.0
24,38,8,3,3.0,3,6.0,57,39.0,206.483,3.0,1.0,4.0,98567.61403508774,94357.0,2007,3,3,raikkonen,7.0,RAI,Kimi,Rج_ikkج¦nen,17/10/1979,Finnish,1.0,110.0,36.0,1.0,1.0,1.0,10.0,58.0,41.0,223.978,1.0,1.0,1.0,88427.06896551725,85235.0,1.0,1.0,raikkonen,7.0,RAI,Kimi,Rج_ikkج¦nen,17/10/1979,Finnish,1.0,110.0,37.0,3.0,3.0,3.0,6.0,56.0,40.0,205.237,3.0,1.0,4.0,99165.51785714287,97228.0,2.0,2.0,raikkonen,7.0,RAI,Kimi,Rج_ikkج¦nen,17/10/1979,Finnish,1.0,110.0
25,38,2,5,4.0,4,5.0,57,38.0,206.236,5.0,1.0,5.0,98620.1052631579,94470.0,2007,3,3,heidfeld,,HEI,Nick,Heidfeld,10/05/1977,German,5.0,61.0,36.0,3.0,4.0,4.0,5.0,58.0,37.0,220.137,3.0,1.0,2.0,89095.39655172414,86722.0,1.0,1.0,heidfeld,,HEI,Nick,Heidfeld,10/05/1977,German,5.0,61.0,37.0,5.0,4.0,4.0,5.0,56.0,55.0,204.838,5.0,1.0,5.0,99441.19642857145,97417.0,2.0,2.0,heidfeld,,HEI,Nick,Heidfeld,10/05/1977,German,5.0,61.0
26,38,4,4,5.0,5,4.0,57,46.0,206.346,4.0,1.0,3.0,98630.54385964911,94420.0,2007,3,3,alonso,14.0,ALO,Fernando,Alonso,29/07/1981,Spanish,3.0,109.0,36.0,2.0,2.0,2.0,8.0,58.0,20.0,221.178,2.0,1.0,4.0,88551.93103448275,86314.0,1.0,1.0,alonso,14.0,ALO,Fernando,Alonso,29/07/1981,Spanish,3.0,109.0,37.0,2.0,1.0,1.0,10.0,56.0,42.0,206.014,2.0,1.0,1.0,98838.03571428572,96861.0,2.0,2.0,alonso,14.0,ALO,Fernando,Alonso,29/07/1981,Spanish,3.0,109.0
27,38,9,6,6.0,6,3.0,57,46.0,205.477,6.0,1.0,6.0,99176.2105263158,94819.0,2007,3,3,kubica,,KUB,Robert,Kubica,07/12/1984,Polish,6.0,39.0,36.0,5.0,,20.0,0.0,36.0,19.0,220.341,5.0,1.0,5.0,89006.88888888889,86642.0,1.0,1.0,kubica,,KUB,Robert,Kubica,07/12/1984,Polish,6.0,39.0,37.0,7.0,18.0,18.0,0.0,55.0,53.0,201.82,7.0,1.0,6.0,101804.63636363637,98874.0,2.0,2.0,kubica,,KUB,Robert,Kubica,07/12/1984,Polish,6.0,39.0
28,38,15,9,7.0,7,2.0,57,40.0,204.756,9.0,1.0,10.0,99805.01754385963,95153.0,2007,3,3,trulli,,TRU,Jarno,Trulli,13/07/1974,Italian,13.0,8.0,36.0,8.0,9.0,9.0,0.0,57.0,45.0,216.857,8.0,1.0,9.0,90590.22807017544,88034.0,1.0,1.0,trulli,,TRU,Jarno,Trulli,13/07/1974,Italian,13.0,8.0,37.0,8.0,7.0,7.0,2.0,56.0,40.0,203.587,8.0,1.0,9.0,100090.39285714287,98016.0,2.0,2.0,trulli,,TRU,Jarno,Trulli,13/07/1974,Italian,13.0,8.0
29,38,21,7,8.0,8,1.0,57,51.0,204.655,7.0,1.0,7.0,99810.80701754386,95200.0,2007,3,3,fisichella,,FIS,Giancarlo,Fisichella,14/01/1973,Italian,8.0,21.0,36.0,6.0,5.0,5.0,4.0,58.0,18.0,219.707,6.0,1.0,6.0,89573.08620689654,86892.0,1.0,1.0,fisichella,,FIS,Giancarlo,Fisichella,14/01/1973,Italian,8.0,21.0,37.0,12.0,6.0,6.0,3.0,56.0,44.0,203.872,12.0,1.0,8.0,100010.14285714287,97879.0,2.0,2.0,fisichella,,FIS,Giancarlo,Fisichella,14/01/1973,Italian,8.0,21.0
30,38,5,12,9.0,9,0.0,57,27.0,204.065,12.0,1.0,9.0,99946.0701754386,95475.0,2007,3,3,kovalainen,,KOV,Heikki,Kovalainen,19/10/1981,Finnish,7.0,30.0,36.0,13.0,10.0,10.0,0.0,57.0,44.0,217.951,13.0,1.0,11.0,90598.42105263156,87592.0,1.0,1.0,kovalainen,,KOV,Heikki,Kovalainen,19/10/1981,Finnish,7.0,30.0,37.0,11.0,8.0,8.0,1.0,56.0,41.0,204.015,11.0,1.0,10.0,100124.01785714287,97810.0,2.0,2.0,kovalainen,,KOV,Heikki,Kovalainen,19/10/1981,Finnish,7.0,30.0
31,38,3,10,10.0,10,0.0,57,51.0,203.893,10.0,1.0,13.0,99954.9298245614,95556.0,2007,3,3,rosberg,6.0,ROS,Nico,Rosberg,27/06/1985,German,9.0,20.0,36.0,12.0,7.0,7.0,2.0,57.0,40.0,220.14,12.0,1.0,12.0,90039.24561403508,86721.0,1.0,1.0,rosberg,6.0,ROS,Nico,Rosberg,27/06/1985,German,9.0,20.0,37.0,6.0,,19.0,0.0,42.0,18.0,204.237,6.0,1.0,7.0,100181.0,97704.0,2.0,2.0,rosberg,6.0,ROS,Nico,Rosberg,27/06/1985,German,9.0,20.0
32,38,25,11,11.0,11,0.0,56,27.0,202.966,11.0,1.0,11.0,100337.60714285713,95992.0,2007,3,3,wurz,,WUR,Alexander,Wurz,15/02/1974,Austrian,11.0,13.0,36.0,15.0,,18.0,0.0,48.0,24.0,216.196,15.0,1.0,15.0,90911.66666666669,88303.0,1.0,1.0,wurz,,WUR,Alexander,Wurz,15/02/1974,Austrian,11.0,13.0,37.0,19.0,9.0,9.0,0.0,56.0,19.0,203.903,20.0,1.0,18.0,100443.82142857145,97864.0,2.0,2.0,wurz,,WUR,Alexander,Wurz,15/02/1974,Austrian,11.0,13.0
33,38,23,14,12.0,12,0.0,56,37.0,203.278,14.0,1.0,18.0,100499.71428571428,95845.0,2007,3,3,ralf_schumacher,,SCH,Ralf,Schumacher,30/06/1975,German,16.0,5.0,36.0,9.0,8.0,8.0,1.0,57.0,42.0,217.444,9.0,1.0,8.0,90455.64912280704,87796.0,1.0,1.0,ralf_schumacher,,SCH,Ralf,Schumacher,30/06/1975,German,16.0,5.0,37.0,9.0,15.0,15.0,0.0,55.0,52.0,201.07,9.0,1.0,13.0,101652.27272727274,99243.0,2.0,2.0,ralf_schumacher,,SCH,Ralf,Schumacher,30/06/1975,German,16.0,5.0
34,38,22,15,13.0,13,0.0,56,50.0,203.284,15.0,1.0,16.0,100823.39285714287,95842.0,2007,3,3,barrichello,,BAR,Rubens,Barrichello,23/05/1972,Brazilian,20.0,0.0,36.0,16.0,11.0,11.0,0.0,57.0,17.0,216.699,17.0,1.0,14.0,90614.19298245614,88098.0,1.0,1.0,barrichello,,BAR,Rubens,Barrichello,23/05/1972,Brazilian,20.0,0.0,37.0,22.0,11.0,11.0,0.0,55.0,32.0,202.451,19.0,1.0,20.0,101169.83636363636,98566.0,2.0,2.0,barrichello,,BAR,Rubens,Barrichello,23/05/1972,Brazilian,20.0,0.0
35,38,27,22,14.0,14,0.0,55,40.0,200.477,22.0,1.0,19.0,102233.09090909091,97184.0,2007,3,3,albers,,ALB,Christijan,Albers,16/04/1979,Dutch,25.0,0.0,36.0,21.0,,22.0,0.0,10.0,9.0,210.022,22.0,1.0,20.0,94102.0,90899.0,1.0,1.0,albers,,ALB,Christijan,Albers,16/04/1979,Dutch,25.0,0.0,37.0,20.0,,21.0,0.0,7.0,5.0,196.608,21.0,1.0,21.0,109255.42857142855,101495.0,2.0,2.0,albers,,ALB,Christijan,Albers,16/04/1979,Dutch,25.0,0.0
36,38,16,20,15.0,15,0.0,53,45.0,201.33,20.0,1.0,20.0,106096.41509433962,96772.0,2007,3,3,sutil,99.0,SUT,Adrian,Sutil,11/01/1983,German,19.0,1.0,36.0,20.0,17.0,17.0,0.0,56.0,40.0,215.26,21.0,1.0,22.0,92927.33928571428,88687.0,1.0,1.0,sutil,99.0,SUT,Adrian,Sutil,11/01/1983,German,19.0,1.0,37.0,21.0,,22.0,0.0,0.0,,,22.0,,,,,2.0,2.0,sutil,99.0,SUT,Adrian,Sutil,11/01/1983,German,19.0,1.0
37,38,19,13,16.0,16,0.0,51,27.0,202.715,13.0,1.0,12.0,100685.29411764706,96111.0,2007,3,3,davidson,,DAV,Anthony,Davidson,18/04/1979,British,23.0,0.0,36.0,11.0,16.0,16.0,0.0,56.0,41.0,215.742,11.0,1.0,21.0,91636.03571428572,88489.0,1.0,1.0,davidson,,DAV,Anthony,Davidson,18/04/1979,British,23.0,0.0,37.0,18.0,16.0,16.0,0.0,55.0,32.0,200.417,18.0,1.0,15.0,101766.2181818182,99566.0,2.0,2.0,davidson,,DAV,Anthony,Davidson,18/04/1979,British,23.0,0.0
38,38,17,8,,17,0.0,41,37.0,203.575,8.0,1.0,8.0,101317.14634146342,95705.0,2007,3,3,webber,,WEB,Mark,Webber,27/08/1976,Australian,12.0,10.0,36.0,7.0,13.0,13.0,0.0,57.0,21.0,218.178,7.0,1.0,7.0,91217.70175438595,87501.0,1.0,1.0,webber,,WEB,Mark,Webber,27/08/1976,Australian,12.0,10.0,37.0,10.0,10.0,10.0,0.0,56.0,55.0,202.504,10.0,1.0,11.0,100508.67857142855,98540.0,2.0,2.0,webber,,WEB,Mark,Webber,27/08/1976,Australian,12.0,10.0
39,38,14,21,,18,0.0,36,34.0,204.26,21.0,1.0,15.0,102847.13888888886,95384.0,2007,3,3,coulthard,,COU,David,Coulthard,27/03/1971,British,10.0,14.0,36.0,18.0,,19.0,0.0,48.0,44.0,217.668,19.0,1.0,16.0,90922.8125,87706.0,1.0,1.0,coulthard,,COU,David,Coulthard,27/03/1971,British,10.0,14.0,37.0,13.0,,20.0,0.0,36.0,28.0,203.416,13.0,1.0,12.0,100948.63888888886,98098.0,2.0,2.0,coulthard,,COU,David,Coulthard,27/03/1971,British,10.0,14.0
40,38,11,17,,19,0.0,34,23.0,202.193,17.0,1.0,14.0,102081.58823529413,96359.0,2007,3,3,sato,,SAT,Takuma,Sato,28/01/1977,Japanese,17.0,4.0,36.0,10.0,12.0,12.0,0.0,57.0,20.0,215.746,10.0,1.0,10.0,90693.08771929824,88487.0,1.0,1.0,sato,,SAT,Takuma,Sato,28/01/1977,Japanese,17.0,4.0,37.0,14.0,13.0,13.0,0.0,55.0,37.0,202.595,14.0,1.0,19.0,101340.65454545453,98496.0,2.0,2.0,sato,,SAT,Takuma,Sato,28/01/1977,Japanese,17.0,4.0
41,38,24,18,,20,0.0,26,23.0,203.537,18.0,1.0,17.0,110132.38461538461,95723.0,2007,3,3,liuzzi,,LIU,Vitantonio,Liuzzi,06/08/1980,Italian,18.0,3.0,36.0,19.0,14.0,14.0,0.0,57.0,44.0,216.247,20.0,1.0,19.0,91339.71929824562,88282.0,1.0,1.0,liuzzi,,LIU,Vitantonio,Liuzzi,06/08/1980,Italian,18.0,3.0,37.0,16.0,17.0,17.0,0.0,55.0,21.0,202.695,16.0,1.0,17.0,101786.58181818182,98447.0,2.0,2.0,liuzzi,,LIU,Vitantonio,Liuzzi,06/08/1980,Italian,18.0,3.0
42,38,18,16,,21,0.0,0,,,16.0,,,,,2007,3,3,button,22.0,BUT,Jenson,Button,19/01/1980,British,15.0,6.0,36.0,14.0,15.0,15.0,0.0,57.0,42.0,215.991,14.0,1.0,13.0,91364.8947368421,88387.0,1.0,1.0,button,22.0,BUT,Jenson,Button,19/01/1980,British,15.0,6.0,37.0,15.0,12.0,12.0,0.0,55.0,54.0,202.262,15.0,1.0,16.0,101182.94545454544,98658.0,2.0,2.0,button,22.0,BUT,Jenson,Button,19/01/1980,British,15.0,6.0
43,38,26,19,,22,0.0,0,,,19.0,,,,,2007,3,3,speed,,SPE,Scott,Speed,24/01/1983,American,21.0,0.0,36.0,17.0,,21.0,0.0,28.0,22.0,214.616,18.0,1.0,17.0,92191.07142857145,88953.0,1.0,1.0,speed,,SPE,Scott,Speed,24/01/1983,American,21.0,0.0,37.0,17.0,14.0,14.0,0.0,55.0,54.0,201.364,17.0,1.0,14.0,101452.0181818182,99098.0,2.0,2.0,speed,,SPE,Scott,Speed,24/01/1983,American,21.0,0.0
